"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"952","v","Preis bei Buchersatz","Preis bei Buchersatz","0","0","0","items.replacementprice","10","","","","0","0","FA","","","","9999","0"
"952","w","Preis gültig von","Preis gültig von","0","0","0","items.replacementpricedate","10","","","","0","0","FA","","","","9999","0"
"952","x","Interne Notiz","Interne Notiz","0","0","0","items.itemnotes_nonpublic","10","","","","","0","FA","","","","9999","0"
"952","y","Koha-Medientyp","Koha-Medientyp","0","0","0","items.itype","10","itemtypes","","","","0","FA","","","","9999","0"
"952","z","OPAC-Notiz","OPAC-Notiz","0","0","0","items.itemnotes","10","","","","","0","FA","","","","9999","0"
"999","a","Medientyp [OBSOLET]","Medientyp [OBSOLET]","0","0","0","","-1","","","","","-5","FA","","","","9999","0"
"999","b","Koha-DDC-Unterklasse [OBSOLET]","Koha-DDC-Unterklasse [OBSOLET]","0","0","0","","0","","","","","-5","FA","","","","9999","0"
"999","c","Koha-Biblionummer","Koha-Biblionummer","0","0","0","biblio.biblionumber","-1","","","","","-5","FA","","","","9999","0"
"999","d","Koha-Biblioitemnumber","Koha-Biblioitemnumber","0","0","0","biblioitems.biblioitemnumber","-1","","","","","-5","FA","","","","9999","0"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

